timestamp,iteracion,delta
3981025303,0,2
3981025303,1,0
3981025303,2,0
3981025303,3,1
3981025303,4,0
3981025303,5,1
3981025303,6,0
3981025303,7,1
3981025303,8,0
3981025303,9,1
3981025303,10,0
3981025303,11,1
3981025303,12,1
3981025303,13,0
3981025303,14,1
3981025303,15,0
3981025303,16,0
3981025303,17,1
3981025303,18,1
3981025303,19,0
3981025303,20,1
3981025303,21,0
3981025303,22,1
3981025303,23,0
3981025303,24,1
3981025303,25,1
3981025303,26,0
3981025303,27,1
3981025303,28,0
3981025303,29,1
3981025303,30,0
3981025303,31,1
3981025303,32,0
3981025303,33,1
3981025303,34,1
3981025303,35,0
3981025303,36,1
3981025303,37,0
3981025303,38,1
3981025303,39,0
3981025303,40,1
3981025303,41,1
3981025303,42,0
3981025303,43,1
3981025303,44,0
3981025303,45,1
3981025303,46,0
3981025303,47,1
3981025303,48,0
3981025303,49,1
3981025303,50,1
3981025303,51,0
3981025303,52,1
3981025303,53,0
3981025303,54,1
3981025303,55,0
3981025303,56,1
3981025303,57,0
3981025303,58,1
3981025303,59,1
3981025303,60,0
3981025303,61,1
3981025303,62,0
3981025303,63,1
3981025303,64,0
3981025303,65,1
3981025303,66,0
3981025303,67,1
3981025303,68,1
3981025303,69,1
3981025303,70,1
3981025303,71,0
3981025303,72,1
3981025303,73,0
3981025303,74,1
3981025303,75,0
3981025303,76,1
3981025303,77,0
3981025303,78,1
3981025303,79,1
3981025303,80,0
3981025303,81,1
3981025303,82,0
3981025303,83,1
3981025303,84,0
3981025303,85,1
3981025303,86,0
3981025303,87,1
3981025303,88,1
3981025303,89,1
3981025303,90,1
3981025303,91,0
3981025303,92,1
3981025303,93,0
3981025303,94,1
3981025303,95,0
3981025303,96,1
3981025303,97,1
3981025303,98,1
3981025303,99,1
